                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.79957,                0.50778,                0.82368,                0.91802,                0.73544,                0.82676,                0.66416,                0.59845,                0.40214,                0.82097,               0.008053,               0.008053,               0.008053
                     61,                0.80803,                0.51393,                0.82614,                0.91077,                0.73899,                0.83127,                0.66239,                 0.6116,                0.40518,                0.82216,                0.00802,                0.00802,                0.00802
                     62,                0.79674,                0.50642,                0.82342,                0.90749,                0.74004,                0.83093,                0.67441,                0.61637,                0.40498,                0.82179,               0.007987,               0.007987,               0.007987
                     63,                0.79298,                 0.5055,                0.82296,                0.90671,                0.74735,                0.83572,                0.67114,                0.60175,                 0.4022,                0.81994,               0.007954,               0.007954,               0.007954
                     64,                0.78812,                0.50146,                0.82257,                0.91048,                0.73722,                0.82915,                0.66926,                 0.6003,                0.39776,                0.81957,               0.007921,               0.007921,               0.007921
                     65,                0.78741,                0.50204,                0.82229,                0.90844,                0.74067,                0.83295,                0.67329,                0.59015,                0.39305,                 0.8192,               0.007888,               0.007888,               0.007888
                     66,                0.78064,                0.49904,                0.82192,                0.90428,                0.73957,                0.82849,                0.66159,                0.60776,                0.40057,                0.82206,               0.007855,               0.007855,               0.007855
                     67,                0.78313,                0.49767,                0.82186,                0.91257,                0.73833,                0.83379,                0.66975,                0.58788,                0.38884,                 0.8191,               0.007822,               0.007822,               0.007822
                     68,                0.77855,                0.49723,                0.82203,                0.90458,                 0.7497,                0.83835,                0.67569,                0.58878,                0.39104,                0.81759,               0.007789,               0.007789,               0.007789
                     69,                0.78079,                0.49844,                0.82328,                0.90902,                0.73562,                0.83173,                0.67266,                0.59884,                0.39202,                0.81865,               0.007756,               0.007756,               0.007756
                     70,                0.77059,                0.48978,                0.81865,                0.91227,                0.74686,                 0.8393,                0.68343,                0.57751,                0.38433,                0.81662,               0.007723,               0.007723,               0.007723
                     71,                0.76562,                0.49029,                0.82045,                0.91113,                0.74679,                0.83944,                0.68588,                0.56871,                0.38042,                0.81678,                0.00769,                0.00769,                0.00769
                     72,                0.76839,                0.48734,                 0.8199,                0.91989,                0.74251,                0.83757,                 0.6814,                0.58236,                0.38556,                0.81698,               0.007657,               0.007657,               0.007657
                     73,                0.75776,                0.48165,                0.81929,                0.90984,                0.74233,                0.83625,                0.67662,                0.58724,                 0.3863,                0.81777,               0.007624,               0.007624,               0.007624
                     74,                  0.763,                0.48528,                0.81914,                0.91837,                0.74671,                0.84067,                0.68431,                 0.5686,                0.37869,                0.81599,               0.007591,               0.007591,               0.007591
                     75,                0.75573,                0.48563,                0.81861,                0.91579,                0.74313,                0.83805,                0.68157,                0.58679,                0.38332,                0.81777,               0.007558,               0.007558,               0.007558
                     76,                0.75704,                0.48286,                 0.8174,                 0.9146,                0.74571,                 0.8408,                0.68668,                0.56751,                0.38226,                0.81506,               0.007525,               0.007525,               0.007525
                     77,                0.75605,                0.48356,                0.81782,                0.91727,                0.73682,                0.83675,                 0.6798,                0.58018,                0.38805,                0.81634,               0.007492,               0.007492,               0.007492
                     78,                0.75325,                0.47966,                0.81761,                0.90781,                 0.7479,                0.83805,                0.68568,                0.57189,                0.37909,                0.81472,               0.007459,               0.007459,               0.007459
                     79,                0.74656,                0.47661,                0.81672,                0.91637,                0.74279,                0.83676,                0.68089,                0.56998,                0.37765,                0.81489,               0.007426,               0.007426,               0.007426
                     80,                0.74661,                0.47744,                0.81686,                0.92265,                0.73954,                0.83902,                0.68542,                0.55859,                0.37479,                0.81388,               0.007393,               0.007393,               0.007393
                     81,                0.74876,                0.48128,                0.81657,                0.91709,                0.74543,                0.83998,                 0.6843,                0.56993,                0.37772,                0.81361,                0.00736,                0.00736,                0.00736
                     82,                 0.7433,                0.47395,                0.81515,                0.91537,                0.74703,                0.84189,                0.69509,                0.56323,                0.37365,                0.81269,               0.007327,               0.007327,               0.007327
                     83,                0.74423,                0.47513,                0.81677,                0.91483,                0.74828,                0.84208,                0.69387,                0.55244,                0.36891,                  0.812,               0.007294,               0.007294,               0.007294
                     84,                0.74239,                0.47232,                0.81687,                0.91903,                0.74759,                0.84177,                0.69257,                0.55557,                 0.3695,                0.81268,               0.007261,               0.007261,               0.007261
                     85,                0.73919,                0.47422,                0.81614,                0.91878,                0.75027,                0.84219,                0.69264,                0.55069,                0.36869,                 0.8122,               0.007228,               0.007228,               0.007228
                     86,                0.73966,                0.47134,                0.81518,                0.91635,                 0.7488,                 0.8426,                0.69097,                 0.5482,                0.36772,                0.81186,               0.007195,               0.007195,               0.007195
                     87,                0.73135,                0.46656,                0.81525,                 0.9219,                0.74268,                0.84075,                0.69569,                0.54814,                0.36768,                0.81161,               0.007162,               0.007162,               0.007162
                     88,                0.72831,                0.46476,                0.81341,                0.91756,                0.74524,                0.84092,                0.69506,                  0.552,                0.36944,                0.81169,               0.007129,               0.007129,               0.007129
                     89,                0.73154,                0.46791,                0.81419,                0.92327,                0.74588,                0.84297,                0.70046,                0.54152,                0.36467,                0.81094,               0.007096,               0.007096,               0.007096
                     90,                0.73338,                0.46773,                 0.8131,                0.92457,                0.74846,                0.84348,                0.70064,                0.54457,                0.36387,                0.81078,               0.007063,               0.007063,               0.007063
                     91,                0.72729,                0.46534,                0.81364,                0.92468,                0.74519,                0.84128,                0.70039,                0.54251,                0.36292,                0.81021,                0.00703,                0.00703,                0.00703
