                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.85915,                0.57538,                0.83847,                0.88348,                0.75972,                0.82811,                0.63722,                0.65975,                0.44491,                0.83571,                0.00703,                0.00703,                0.00703
                     62,                0.85837,                0.57276,                0.83613,                0.90285,                0.75717,                0.82987,                0.64001,                0.66814,                0.44853,                0.83473,              0.0069805,              0.0069805,              0.0069805
                     63,                0.85153,                 0.5683,                0.83553,                0.88525,                0.75937,                0.82471,                0.63685,                0.65878,                0.44421,                0.83394,               0.006931,               0.006931,               0.006931
                     64,                0.84437,                0.56628,                0.83484,                0.89628,                0.76282,                0.83077,                0.63783,                0.65999,                0.44267,                0.83277,              0.0068815,              0.0068815,              0.0068815
                     65,                0.84921,                0.56508,                0.83397,                0.88589,                0.75695,                0.82444,                0.63001,                0.65931,                0.44484,                0.83596,               0.006832,               0.006832,               0.006832
                     66,                0.84186,                0.56445,                0.83489,                0.89271,                0.76335,                0.82741,                0.63677,                0.65186,                 0.4409,                0.83537,              0.0067825,              0.0067825,              0.0067825
                     67,                0.84712,                0.56505,                0.83445,                0.88959,                0.75422,                0.82187,                0.64011,                0.65921,                0.44349,                0.83525,               0.006733,               0.006733,               0.006733
                     68,                0.83706,                0.55763,                 0.8332,                0.88825,                0.76865,                0.83412,                0.64691,                0.65527,                0.43807,                0.83417,              0.0066835,              0.0066835,              0.0066835
                     69,                0.83105,                0.55597,                0.83299,                0.89236,                0.76334,                0.83144,                0.63926,                0.65003,                0.43905,                0.83438,               0.006634,               0.006634,               0.006634
                     70,                0.83126,                0.55495,                0.83426,                0.88302,                0.76702,                0.83002,                 0.6412,                0.64119,                0.43885,                0.83109,              0.0065845,              0.0065845,              0.0065845
                     71,                0.83041,                0.55673,                0.83269,                0.90079,                0.75726,                0.82689,                0.64058,                0.65027,                0.43893,                0.83394,               0.006535,               0.006535,               0.006535
                     72,                0.82559,                0.55498,                0.83167,                0.90003,                0.76525,                0.83549,                0.65536,                0.63128,                0.42822,                0.83106,              0.0064855,              0.0064855,              0.0064855
                     73,                0.82141,                0.55085,                0.83177,                0.90273,                0.76853,                0.83805,                0.65537,                 0.6338,                0.42747,                0.82993,               0.006436,               0.006436,               0.006436
                     74,                0.82256,                0.54958,                0.83143,                0.90223,                0.76039,                0.83246,                0.64439,                0.64166,                0.43198,                0.83118,              0.0063865,              0.0063865,              0.0063865
                     75,                0.81785,                0.54659,                0.83078,                 0.9033,                0.76225,                0.83308,                0.65756,                0.63227,                0.42917,                0.83119,               0.006337,               0.006337,               0.006337
                     76,                0.81677,                0.54753,                0.83146,                0.90147,                0.76935,                0.83786,                0.65791,                0.63017,                0.42458,                0.82985,              0.0062875,              0.0062875,              0.0062875
                     77,                0.81387,                 0.5471,                0.82962,                0.89757,                0.76964,                0.83658,                0.65644,                0.62673,                0.42533,                0.82862,               0.006238,               0.006238,               0.006238
                     78,                 0.8166,                0.54594,                0.83102,                0.90144,                0.76364,                  0.837,                0.65692,                0.62461,                 0.4223,                 0.8277,              0.0061885,              0.0061885,              0.0061885
                     79,                 0.8128,                0.54595,                0.82903,                0.89263,                0.77092,                0.83896,                0.65955,                0.62275,                0.41868,                0.82789,               0.006139,               0.006139,               0.006139
                     80,                0.80428,                0.54161,                0.82872,                0.89988,                0.76928,                0.83885,                0.65722,                0.62215,                0.42392,                0.82814,              0.0060895,              0.0060895,              0.0060895
                     81,                0.80499,                0.54238,                0.82785,                0.89899,                0.76756,                0.83857,                0.65724,                0.62309,                 0.4263,                0.82906,                0.00604,                0.00604,                0.00604
                     82,                0.80059,                 0.5386,                0.82751,                0.89895,                0.76968,                 0.8389,                0.65618,                0.61413,                0.41518,                0.82912,              0.0059905,              0.0059905,              0.0059905
                     83,                0.79162,                0.53498,                0.83008,                0.89406,                0.77098,                0.83742,                0.66362,                0.61093,                0.41434,                0.82812,               0.005941,               0.005941,               0.005941
                     84,                0.79223,                0.53267,                0.82842,                0.89676,                0.77624,                0.84337,                0.66669,                0.60747,                0.41147,                 0.8269,              0.0058915,              0.0058915,              0.0058915
                     85,                0.79336,                0.53244,                0.82892,                0.89077,                0.77058,                0.83587,                0.66161,                 0.6038,                0.41162,                0.82797,               0.005842,               0.005842,               0.005842
                     86,                0.79001,                0.53161,                0.82624,                0.89627,                0.77465,                0.83843,                 0.6576,                0.61288,                0.41638,                0.82725,              0.0057925,              0.0057925,              0.0057925
                     87,                0.79115,                0.53223,                0.82629,                0.88997,                0.77958,                 0.8418,                0.66224,                0.60691,                0.41322,                0.82657,               0.005743,               0.005743,               0.005743
                     88,                0.78955,                0.52884,                0.82587,                 0.8994,                 0.7742,                0.84393,                0.66562,                 0.6124,                 0.4129,                0.82666,              0.0056935,              0.0056935,              0.0056935
                     89,                0.78913,                0.53152,                 0.8272,                0.90906,                0.76833,                0.84016,                0.66471,                 0.6026,                  0.409,                0.82673,               0.005644,               0.005644,               0.005644
